838334638	20180414	201804	2018	2018.2849	LEG	CONGRESS						LEG													1	051	051	05	1	3.4	6	1	6	-3.47423277359583	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	0								3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20190414160000	https://timesofsandiego.com/politics/2019/04/13/many-californians-paying-more-to-irs-because-of-trump-tax-overhaul/
838334639	20180414	201804	2018	2018.2849	LEG	CONGRESS						LEG			USA	UNITED STATES	USA								1	051	051	05	1	3.4	4	1	4	-3.47423277359583	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20190414160000	https://timesofsandiego.com/politics/2019/04/13/many-californians-paying-more-to-irs-because-of-trump-tax-overhaul/
838334640	20180414	201804	2018	2018.2849	NGOHLH	AUTISM SPEAKS						NGO	HLH												1	071	071	07	2	7.4	10	1	10	4.34782608695652	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20190414160000	https://patch.com/california/centurycity/great-wolf-lodge-raises-funds-awareness-autism-speaks
838334641	20190407	201904	2019	2019.2658											GBR	UNITED KINGDOM	GBR								1	173	173	17	4	-5.0	3	1	3	-7.2463768115942	0								1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20190414160000	https://www.prisonplanet.com/ecuador-hacked-after-julian-assange-arrest.html
838334642	20190407	201904	2019	2019.2658	AGR	FARMER						AGR													0	193	193	19	4	-10.0	1	1	1	-3.21678321678321	5	Khuzestan, Khuzestan, Iran	IR	IR15	40868	31.5	49	-3071486	0								5	Khuzestan, Khuzestan, Iran	IR	IR15	40868	31.5	49	-3071486	20190414160000	https://en.radiofarda.com/a/convoys-of-iraqi-militia-deployed-to-iran-s-flood-hit-regions-as-dissent-mounts/29880218.html
838334643	20190407	201904	2019	2019.2658	ECUGOV	ECUADORIAN	ECU					GOV			USA	UNITED STATES	USA								1	173	173	17	4	-5.0	4	1	4	-2.37388724035609	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20190414160000	https://www.esquire.com/entertainment/tv/a27139272/snl-cold-open-michael-keaton-lori-loughlin-michael-avenatti/
838334644	20190407	201904	2019	2019.2658	EDU	SCHOOL						EDU			LAB	WORKER						LAB			1	180	180	18	4	-9.0	10	1	10	-2.91095890410959	4	Ikorodu, Lagos, Nigeria	NI	NI05	22931	6.61548	3.50867	-2011584	4	Ikorodu, Lagos, Nigeria	NI	NI05	22931	6.61548	3.50867	-2011584	4	Ikorodu, Lagos, Nigeria	NI	NI05	22931	6.61548	3.50867	-2011584	20190414160000	https://www.premiumtimesng.com/regional/ssouth-west/325351-police-invite-four-laspotech-workers-over-alleged-attack-on-jamb-officials.html
838334645	20190407	201904	2019	2019.2658	IRN	IRAN	IRN																		0	193	193	19	4	-10.0	2	1	2	-3.21678321678321	5	Khuzestan, Khuzestan, Iran	IR	IR15	40868	31.5	49	-3071486	0								5	Khuzestan, Khuzestan, Iran	IR	IR15	40868	31.5	49	-3071486	20190414160000	https://en.radiofarda.com/a/convoys-of-iraqi-militia-deployed-to-iran-s-flood-hit-regions-as-dissent-mounts/29880218.html
838334646	20190407	201904	2019	2019.2658	IRNAGR	IRAN	IRN					AGR													0	193	193	19	4	-10.0	2	1	2	-3.21678321678321	5	Khuzestan, Khuzestan, Iran	IR	IR15	40868	31.5	49	-3071486	0								5	Khuzestan, Khuzestan, Iran	IR	IR15	40868	31.5	49	-3071486	20190414160000	https://en.radiofarda.com/a/convoys-of-iraqi-militia-deployed-to-iran-s-flood-hit-regions-as-dissent-mounts/29880218.html
838334647	20190407	201904	2019	2019.2658	MEX	MEXICO	MEX								USA	UNITED STATES	USA								0	042	042	04	1	1.9	1	1	1	-3.420523138833	4	Calexico, Nayarit, Mexico	MX	MX18	20887	21.1375	-104.9	6272047	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Calexico, Nayarit, Mexico	MX	MX18	20887	21.1375	-104.9	6272047	20190414160000	https://www.dailymail.co.uk/news/article-6921287/Sarah-Sanders-DENIES-Trump-told-border-official-PARDON-him.html
838334648	20190407	201904	2019	2019.2658	USA	UNITED STATES	USA								MEX	MEXICO	MEX								0	043	043	04	1	2.8	2	1	2	-3.420523138833	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Calexico, Nayarit, Mexico	MX	MX18	20887	21.1375	-104.9	6272047	4	Calexico, Nayarit, Mexico	MX	MX18	20887	21.1375	-104.9	6272047	20190414160000	https://www.dailymail.co.uk/news/article-6921287/Sarah-Sanders-DENIES-Trump-told-border-official-PARDON-him.html
