838275342	20190315	201903	2019	2019.2055	GOV	GOVERNMENT						GOV			CVL	VILLAGE						CVL			0	190	190	19	4	-10.0	1	1	1	-5.20393811533052	4	Kware, Kaduna, Nigeria	NI	NI23	191100	10.451	8.19155	-2017032	4	Kursasa, Nigeria (general), Nigeria	NI	NI00	23103	13.0167	6.56667	-2016665	4	Kware, Kaduna, Nigeria	NI	NI23	191100	10.451	8.19155	-2017032	20190414070000	https://thenationonlineng.net/zamfara-killings-buhari-has-abandoned-us-survivors-lament/
838275343	20190407	201904	2019	2019.2658	COP	POLICE						COP			CVL	TOURIST						CVL			1	173	173	17	4	-5.0	10	1	10	-4.9645390070922	4	Queen Elizabeth National Park, Buhweju, Uganda	UG	UGE6	18585	-0.25	30.1864	-1734850	4	Queen Elizabeth National Park, Buhweju, Uganda	UG	UGE6	18585	-0.25	30.1864	-1734850	4	Queen Elizabeth National Park, Buhweju, Uganda	UG	UGE6	18585	-0.25	30.1864	-1734850	20190414070000	https://www.upi.com/Uganda-police-arrest-8-suspects-in-US-tourist-driver-kidnapping/5391554826005/
838275344	20190407	201904	2019	2019.2658	CVL	COMMUNITY						CVL			EDU	STUDENT						EDU			1	018	018	01	1	3.4	10	1	10	-1.51515151515152	0								0								0								20190414070000	https://whdh.com/news/community-remembers-wentworth-student-found-dead-in-roxbury/
838275345	20190407	201904	2019	2019.2658	USA	UNITED STATES	USA																		1	172	172	17	4	-5.0	8	1	8	-3.10679611650485	3	Alachua County, Florida, United States	US	USFL	FL001	29.7086	-82.3332	308548	0								3	Alachua County, Florida, United States	US	USFL		29.7086	-82.3332	308548	20190414070000	https://www.gainesville.com/opinion/20190414/editorial-fertilizer-ban-is-step-in-right-direction
838275346	20190413	201904	2019	2019.2822											AUS	AUSTRALIA	AUS								1	040	040	04	1	1.0	30	3	30	-4.16666666666667	0								4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20190414070000	https://www.frasercoastchronicle.com.au/news/pilot-killed-plane-crash-rural-property-south-west/3698490/
838275347	20190413	201904	2019	2019.2822	AUS	AUSTRALIA	AUS																		1	040	040	04	1	1.0	30	3	30	-4.16666666666667	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	0								4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20190414070000	https://www.frasercoastchronicle.com.au/news/pilot-killed-plane-crash-rural-property-south-west/3698490/
838275348	20190413	201904	2019	2019.2822	CVL	VILLAGE						CVL													0	180	180	18	4	-9.0	1	1	1	-5.20393811533052	4	Baje, Borno, Nigeria	NI	NI27	22700	11.6665	14.4656	-2001584	0								4	Baje, Borno, Nigeria	NI	NI27	22700	11.6665	14.4656	-2001584	20190414070000	https://thenationonlineng.net/zamfara-killings-buhari-has-abandoned-us-survivors-lament/
838275349	20190413	201904	2019	2019.2822	CVL	VILLAGE						CVL			NGA	NIGERIA	NGA								0	180	180	18	4	-9.0	4	1	4	-5.20393811533052	4	Baje, Borno, Nigeria	NI	NI27	22700	11.6665	14.4656	-2001584	4	Baje, Borno, Nigeria	NI	NI27	22700	11.6665	14.4656	-2001584	4	Baje, Borno, Nigeria	NI	NI27	22700	11.6665	14.4656	-2001584	20190414070000	https://thenationonlineng.net/zamfara-killings-buhari-has-abandoned-us-survivors-lament/
838275350	20190413	201904	2019	2019.2822	KEN	KENYA	KEN																		1	010	010	01	1	0.0	4	1	4	-1.65394402035624	4	Nakuru, Rift Valley, Kenya	KE	KE08	18585	-0.283333	36.0667	-2258197	0								4	Nakuru, Rift Valley, Kenya	KE	KE08	18585	-0.283333	36.0667	-2258197	20190414070000	https://www.sde.co.ke/article/2001320907/state-withdraws-security-detail-of-governor-mps-allied-to-ruto
838275351	20190413	201904	2019	2019.2822	NGA	NIGERIA	NGA																		0	180	180	18	4	-9.0	2	1	2	-5.20393811533052	4	Baje, Borno, Nigeria	NI	NI27	22700	11.6665	14.4656	-2001584	0								4	Baje, Borno, Nigeria	NI	NI27	22700	11.6665	14.4656	-2001584	20190414070000	https://thenationonlineng.net/zamfara-killings-buhari-has-abandoned-us-survivors-lament/
838275352	20190413	201904	2019	2019.2822	NGAGOV	ATIKU ABUBAKAR	NGA					GOV			LEG	CONGRESS						LEG			1	016	016	01	1	-2.0	10	1	10	-1.52838427947599	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	20190414070000	https://thenationonlineng.net/apcs-claim-on-my-birth-is-ridiculous-pedestrian-says-atiku/
838275353	20190414	201904	2019	2019.2849											AFR	AFRICA	AFR								0	042	042	04	1	1.9	10	1	10	2.28933268387725	0								4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20190414070000	https://www.birminghammail.co.uk/news/midlands-news/daughter-finds-late-mums-moving-16070511
