838273643	20180414	201804	2018	2018.2849	SPY	INTELLIGENCE						SPY			GBR	UNITED KINGDOM	GBR								0	012	012	01	1	-0.4	2	1	2	-0.8364312267658	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20190414064500	https://www.msn.com/en-us/finance/companies/one-year-after-sorrell-wpp-is-still-waiting-for-lift-off/ar-BBVUSK6
838273644	20180414	201804	2018	2018.2849	THA	THAILAND	THA								GOV	GOVERNMENT						GOV			0	043	043	04	1	2.8	3	1	3	-2.83018867924529	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20190414064500	http://kathmandupost.ekantipur.com/news/2019-04-14/former-maoist-child-soldier-reaches-out-to-un-over-injustice.html
838273645	20180414	201804	2018	2018.2849	THA	THAILAND	THA								NPL	NEPAL	NPL								0	043	043	04	1	2.8	2	1	2	-2.83018867924529	1	Nepal	NP	NP		28	84	NP	1	Nepal	NP	NP		28	84	NP	1	Nepal	NP	NP		28	84	NP	20190414064500	http://kathmandupost.ekantipur.com/news/2019-04-14/former-maoist-child-soldier-reaches-out-to-un-over-injustice.html
838273646	20180414	201804	2018	2018.2849	THA	THAILAND	THA								NPL	NEPAL	NPL								0	043	043	04	1	2.8	2	1	2	-2.83018867924529	1	Thailand	TH	TH		15	100	TH	1	Nepal	NP	NP		28	84	NP	1	Thailand	TH	TH		15	100	TH	20190414064500	http://kathmandupost.ekantipur.com/news/2019-04-14/former-maoist-child-soldier-reaches-out-to-un-over-injustice.html
838273647	20180414	201804	2018	2018.2849	USA	WASHINGTON	USA								QAT	QATAR	QAT								0	042	042	04	1	1.9	2	1	2	3.44262295081967	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20190414064500	https://thepeninsulaqatar.com/article/14/04/2019/US-official-hails-Qatar%E2%80%99s-role-in-promoting-interfaith-harmony
838273648	20190315	201903	2019	2019.2055	GBR	LONDON	GBR																		0	010	010	01	1	0.0	1	1	1	-0.8364312267658	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20190414064500	https://www.msn.com/en-us/finance/companies/one-year-after-sorrell-wpp-is-still-waiting-for-lift-off/ar-BBVUSK6
838273649	20190407	201904	2019	2019.2658	JUD	LAWYER						JUD			CHN	CHINA	CHN								0	010	010	01	1	0.0	2	1	2	-2.98353909465021	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20190414064500	https://www.theguardian.com/commentisfree/2019/apr/14/white-paper-online-harms-global-first-needed-tech-industry-dcms-google-facebook
838273650	20190407	201904	2019	2019.2658	JUD	DISTRICT COURT						JUD			REL	PRIEST									0	173	173	17	4	-5.0	6	1	6	-3.73613543490951	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20190414064500	https://www.abqjournal.com/1302960/victim-hopes-conviction-of-perrault-leads-to-healing.html
838273651	20190407	201904	2019	2019.2658	JUD	DISTRICT COURT						JUD			USA	UNITED STATES	USA								0	173	173	17	4	-5.0	2	1	2	-3.73613543490951	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	20190414064500	https://www.abqjournal.com/1302960/victim-hopes-conviction-of-perrault-leads-to-healing.html
838273652	20190407	201904	2019	2019.2658	JUD	DISTRICT COURT						JUD			USA	UNITED STATES	USA								0	173	173	17	4	-5.0	2	1	2	-3.73613543490951	1	Morocco	MO	MO		32	-5	MO	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	20190414064500	https://www.abqjournal.com/1302960/victim-hopes-conviction-of-perrault-leads-to-healing.html
838273653	20190407	201904	2019	2019.2658	TUR	TURKEY	TUR								GOV	PRESIDENT						GOV			1	130	130	13	3	-4.4	8	1	8	0	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20190414064500	https://theenterpriseleader.com/2019/04/14/putin-hosts-turkeys-leader-to-discuss-syria.html
838273654	20190407	201904	2019	2019.2658	TUR	TURKEY	TUR								TURGOV	TURKEY	TUR					GOV			1	130	130	13	3	-4.4	2	1	2	0	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20190414064500	https://theenterpriseleader.com/2019/04/14/putin-hosts-turkeys-leader-to-discuss-syria.html
838273655	20190413	201904	2019	2019.2822											UGAGOV	UGANDA	UGA					GOV			0	0841	084	08	2	7.0	5	1	5	0.70175438596492	0								4	Soroti, Soroti, Uganda	UG	UG95	18585	1.68556	33.6164	-1735162	4	Soroti, Soroti, Uganda	UG	UG95	18585	1.68556	33.6164	-1735162	20190414064500	https://www.monitor.co.ug/News/National/New-factory-raises-hope-for-Teso-fruit-farmers/688334-5070340-cfti22/
838273656	20190413	201904	2019	2019.2822	UGA	UGANDA	UGA								UGAGOV	UGANDA	UGA					GOV			0	0841	084	08	2	7.0	5	1	5	0.70175438596492	4	Soroti, Soroti, Uganda	UG	UG95	18585	1.68556	33.6164	-1735162	4	Soroti, Soroti, Uganda	UG	UG95	18585	1.68556	33.6164	-1735162	4	Soroti, Soroti, Uganda	UG	UG95	18585	1.68556	33.6164	-1735162	20190414064500	https://www.monitor.co.ug/News/National/New-factory-raises-hope-for-Teso-fruit-farmers/688334-5070340-cfti22/
838273657	20190414	201904	2019	2019.2849											AGR	FARMER						AGR			1	040	040	04	1	1.0	4	1	4	-0.8364312267658	0								4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20190414064500	https://www.msn.com/en-us/finance/companies/one-year-after-sorrell-wpp-is-still-waiting-for-lift-off/ar-BBVUSK6
838273658	20190414	201904	2019	2019.2849											AGR	FARMER						AGR			1	040	040	04	1	1.0	6	1	6	-0.8364312267658	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20190414064500	https://www.msn.com/en-us/finance/companies/one-year-after-sorrell-wpp-is-still-waiting-for-lift-off/ar-BBVUSK6
838273659	20190414	201904	2019	2019.2849											AGR	FARMER						AGR			1	051	051	05	1	3.4	10	1	10	-1.79948586118252	0								4	Udupi, Karnataka, India	IN	IN19	70166	13.35	74.75	-2113669	4	Udupi, Karnataka, India	IN	IN19	70166	13.35	74.75	-2113669	20190414064500	http://www.daijiworld.com/news/newsDisplay.aspx?newsID=579035
838273660	20190414	201904	2019	2019.2849											BUS	BANK						BUS			1	042	042	04	1	1.9	10	1	10	-3.23590814196242	0								4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	4	Darfur, Gharb Darfur, Sudan	SU	SU47	37140	13.5	23.5	-17505	20190414064500	https://www.tribuneonlineng.com/203636/
838273661	20190414	201904	2019	2019.2849											CAN	CANADA	CAN								0	043	043	04	1	2.8	2	1	2	-1.33542812254517	0								4	Edmonton, Alberta, Canada	CA	CA01	154724	53.55	-113.5	-564064	4	Edmonton, Alberta, Canada	CA	CA01	154724	53.55	-113.5	-564064	20190414064500	https://montrealgazette.com/news/canada/can-jason-kenney-possibly-lose-this-election/wcm/b60c8a23-53ef-482a-9c87-79de82992d2c
838273662	20190414	201904	2019	2019.2849											CHR	CHRISTIAN				CHR					1	043	043	04	1	2.8	2	1	2	3.83141762452107	0								4	Angeles City, Angeles, Philippines	RP	RPA1	24223	15.1406	120.591	-2408533	4	Angeles City, Angeles, Philippines	RP	RPA1	24223	15.1406	120.591	-2408533	20190414064500	https://news.mb.com.ph/2019/04/14/sc-to-open-more-justice-zones-to-expedite-resolution-of-cases-decongest-jails/
838273663	20190414	201904	2019	2019.2849											CHRGOV	ARCHDIOCESE				CHR		GOV			0	042	042	04	1	1.9	3	1	3	-3.73613543490951	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20190414064500	https://www.abqjournal.com/1302960/victim-hopes-conviction-of-perrault-leads-to-healing.html
838273664	20190414	201904	2019	2019.2849											COP	POLICE COMMISSIONER						COP			0	042	042	04	1	1.9	2	1	2	-3.63247863247863	0								4	Amritsar, Punjab, India	IN	IN23	17821	31.6331	74.8656	-2088794	4	Amritsar, Punjab, India	IN	IN23	17821	31.6331	74.8656	-2088794	20190414064500	https://uk.reuters.com/article/uk-india-massacre-anniversary-idUKKCN1RO238
